Sales Order #,Select,Line #,PO Type,Sub Type,Billing Account,End User,Date Ordered,PO #,Sales Team,Hold Name,Hold Description,Applied By,Applied On,Applied Comments,Released By,Released On,Release Comments,Release Reason,Releasing Role,Hold Level,Assigned To,Status
13752235433,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,FBE_SBL_TEST_USER_19,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,PRATIBHAB,2/22/2018 3:27,,,,,,QR Team,Header,,On Hold
13752223564,N,,Standard,Sales Order,ACCAD_AFFINITY,ABCDS,,5123137,FBE_SBL_TEST_USER_02,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,PADMINIM,2/16/2018 4:41,,,,,,QR Team,Header,,On Hold
13751810726,N,,Staggered,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,44445555,MAHESH_SALVI,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,VINODP,1/28/2018 11:19,,,,,,QR Team,Header,,On Hold
13751614865,N,,Standard,Sales Order,Test Billing Account,A1AB_AFFINITY,,123-45,MAHESH_SALVI,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,VINODP,1/28/2018 7:51,,,,,,QR Team,Header,,On Hold
13751553326,N,,Standard,Sales Order,A1AB_AFFINITY,A1AB_AFFINITY,10/13/2017 2:06,123-45,FBE_SBL_TEST_USER_02,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",TIJOG,1/24/2018 7:07,,,,,,QR Team,Header,,On Hold
13751504312,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,ACHAL_SOLANKI,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,ABHISHEKK,1/5/2018 3:20,,,,,,QR Team,Header,,On Hold
13751478025,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,11/20/2017 6:17,123456,MAHUA_BHATTACHARYA,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",VINODP,12/8/2017 9:41,,,,,,QR Team,Header,TIJOG,On Hold
13751453228,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,PRATIBHAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,PRATIBHAB,12/6/2017 7:42,,,,,,QR Team,Header,,On Hold
13751340637,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,NANDITAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,NANDITAB,12/6/2017 4:28,,,,,,QR Team,Header,,On Hold
13751338089,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,654567HH,SADMIN,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,LDAPUSER,11/27/2017 4:19,,,,,,QR Team,Header,,On Hold
13751298892,N,,,Sales Order,A100V,ACCAD_AFFINITY,,,MAHESH_SALVI,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",TIJOG,11/13/2017 22:47,,,,,,QR Team,Header,,On Hold
13751289454,N,,Standard,Sales Order,PENTAGON,PENTAGON,11/10/2017 8:08,212121,SADMIN,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,VINODP,11/10/2017 6:07,,,,,,QR Team,Header,,On Hold
13751275061,N,,Standard,Sales Order,PENTAGON,PENTAGON,,212121,FBE_SBL_TEST_USER_19,Quality Check Error Hold,"Manually placed hold by QR Team, if they encountered an error while investigating 'Quality Check Hold' and 'Quality Review-New Rep' holds.",VINODP,11/10/2017 3:12,,,,,,QR Team,Header,,On Hold
13751266422,N,,,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,,VIVEK_DUBEY,Quality Review-New Rep,Manually placed hold applied to orders processed by new order processors,TIJOG,11/7/2017 8:30,,,,,,QR Team,Header,,On Hold
13751162766,N,,,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,11/7/2017 1:26,,MAHUA_BHATTACHARYA,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,ABHISHEKK,11/6/2017 23:26,,,,,,QR Team,Header,,On Hold
13751140163,N,,,Sales Order,PENTAGON,PENTAGON,10/23/2017 8:00,,FBE_SBL_TEST_USER_02,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/23/2017 5:59,,,,,,QR Team,Header,,On Hold
13751129614,N,,,Sales Order,Test Billing Account,PENTAGON,10/17/2017 3:51,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/17/2017 1:51,,,,,,QR Team,Header,,On Hold
13750708029,N,,,Sales Order,Test Billing Account,PENTAGON,10/16/2017 3:48,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/16/2017 1:48,,,,,,QR Team,Header,,On Hold
13750533377,N,,,Sales Order,Test Billing Account,PENTAGON,10/13/2017 9:14,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/13/2017 7:14,,,,,,QR Team,Header,,On Hold
13750522518,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,10/12/2017 9:05,100000,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,NANDITAB,10/12/2017 7:01,,,,,,QR Team,Header,,On Hold
13746924402,N,,,Sales Order,Test Billing Account,PENTAGON,10/11/2017 8:31,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/11/2017 6:31,,,,,,QR Team,Header,,On Hold
13746597389,N,,,Sales Order,Test Billing Account,PENTAGON,10/10/2017 6:49,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/10/2017 4:49,,,,,,QR Team,Header,,On Hold
13745389422,N,,Standard,Sales Order,JET PROPULSION LABORATORY,JET PROPULSION LABORATORY,,Test,FBE_SBL_TEST_USER_02,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,NANDITAB,10/6/2017 8:19,,,,,,QR Team,Header,,On Hold
13744574091,N,,Staggered,Sales Order,PENTAGON,PENTAGON,,123123123,NANDITAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,NANDITAB,10/6/2017 4:45,,,,,,QR Team,Header,,On Hold
13744483955,N,,Staggered,Sales Order,PENTAGON,PENTAGON,,123123123,NANDITAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,KARLE,10/6/2017 4:27,,,,,,QR Team,Header,,On Hold
13744469715,N,,Staggered,Sales Order,PENTAGON,PENTAGON,,123123123,NANDITAB,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,NANDITAB,10/6/2017 3:59,,,,,,QR Team,Header,,On Hold
13743942563,N,,,Sales Order,Test Billing Account,PENTAGON,10/5/2017 5:37,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,10/5/2017 3:37,,,,,,QR Team,Header,,On Hold
13743743804,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,10/4/2017 5:30,KT001,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,VINODP,10/4/2017 3:30,,,,,,QR Team,Header,,On Hold
13743404672,N,,,Sales Order,PENTAGON,PENTAGON,10/3/2017 7:53,,FBE_SBL_TEST_USER_02,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,JAYAB,10/3/2017 5:53,,,,,,QR Team,Header,,On Hold
13743402101,N,,,Sales Order,PENTAGON,PENTAGON,9/29/2017 5:57,,MAHESH_SALVI,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,PRATIBHAB,9/29/2017 3:57,,,,,,QR Team,Header,,On Hold
13743400834,N,,Standard,Sales Order,United States Army Corps of Engineers (CONUS),JPL,9/19/2017 3:19,Test for Julia,FBE_SBL_TEST_USER_02,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,JAYAB,9/19/2017 1:19,,,,,,QR Team,Header,,On Hold
13743394550,N,,Standard,Sales Order,DFAS-INDIANAPOLIS WAWF - ARMY,JET PROPULSION LABORATORY,8/30/2017 7:03,Test,FBE_SBL_TEST_USER_02,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,JAYAB,8/30/2017 5:03,,,,,,QR Team,Header,,On Hold
13743388790,N,,Standard,Sales Order,JET PROPULSION LABORATORY,JET PROPULSION LABORATORY,8/29/2017 10:01,Test,FBE_SBL_TEST_USER_02,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,JAYAB,8/29/2017 8:01,,,,,,QR Team,Header,,On Hold
13743373909,N,,Rated DX,Sales Order,Test Billing Account,PENTAGON,8/29/2017 7:54,123456,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,8/29/2017 5:54,,,,,,QR Team,Header,,On Hold
13743367940,N,,,Sales Order,Test Billing Account,PENTAGON,8/23/2017 6:19,,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,8/23/2017 4:19,,,,,,QR Team,Header,,On Hold
13743352349,N,,Staggered,Sales Order,PENTAGON,PENTAGON,8/22/2017 7:43,123123123,FBE_SBL_TEST_USER_02,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,JAYAB,8/22/2017 5:43,,,,,,QR Team,Header,,On Hold
13743330769,N,,Rated DX,Sales Order,Test Billing Account,PENTAGON,8/21/2017 4:15,123456,SADMIN,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,HARSHAVARDHAN_DAYALA,8/21/2017 2:15,,,,,,QR Team,Header,,On Hold
13743295380,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,100000,RAVINDRAC,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,PRATIBHAB,5/26/2017 1:18,,,,,,QR Team,Header,,On Hold
13743286914,N,,Standard,Sales Order,ACCAD_AFFINITY,ACCAD_AFFINITY,,100000,NANDITAB,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,PRAMITHG,5/25/2017 12:56,,,,,,QR Team,Header,,On Hold
13743272879,N,,Standard,Sales Order,RFLW_AFFINITY,RFLW_AFFINITY,,1234,NIMANSHUP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,KARLE,5/23/2017 6:57,,,,,,QR Team,Header,,On Hold
13743267432,N,,Standard,Sales Order,RFLW_AFFINITY,RFLW_AFFINITY,,1234,MAHESH_SALVI,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,KARLE,5/17/2017 7:39,,,,,,QR Team,Header,,On Hold
13743251708,N,,Standard,Sales Order,RFLW_AFFINITY,RFLW_AFFINITY,5/11/2017 6:06,1234,MAHESH_SALVI,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,KARLE,4/28/2017 3:43,,,,,,QR Team,Header,,On Hold
13743182242,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,,654567HH,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHRIRAJ_SHRIKHANDE,3/30/2016 5:36,,,,,,QR Team,Header,,On Hold
13743177606,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,,654567HH,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHRIRAJ_SHRIKHANDE,3/30/2016 5:15,,,,,,QR Team,Header,,On Hold
13743176125,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,,654567HH,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHRIRAJ_SHRIKHANDE,3/30/2016 4:49,,,,,,QR Team,Header,,On Hold
13743171541,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,3/22/2016 9:05,SalesOrderCheck,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHRIRAJ_SHRIKHANDE,3/22/2016 7:05,,,,,,QR Team,Header,,On Hold
13743169382,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,3/22/2016 8:41,SalesOrderCheck,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHRIRAJ_SHRIKHANDE,3/22/2016 6:41,,,,,,QR Team,Header,,On Hold
13743152112,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,3/21/2016 14:38,654567HH,VINODP,Quality Check Hold,A quality check hold will be placed on the order when the PO is above $100K,SHEETAL_NARALE,3/21/2016 0:38,,,,,,QR Team,Header,,On Hold
13743146334,N,,,,ACCAD_AFFINITY,ACCAD_AFFINITY,,,VINODP,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,SHEETAL_NARALE,3/18/2016 0:29,,,,,,QR Team,Header,,On Hold
133562784,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,,KT001,TIJOG,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,SHEETAL_NARALE,3/11/2016 4:00,,,,,,QR Team,Header,,On Hold
133560096,N,,Standard,,ACCAD_AFFINITY,ACCAD_AFFINITY,,333333,VINODP,Pre-Paid,A pre-paid hold will be applied to an order that is awaiting payment from the customer.,SHRIRAJ_SHRIKHANDE,3/11/2016 3:53,,,,,,QR Team,Header,,On Hold
